20170601 013600;1.124080;1.124100;1.124080;1.124100;0
20170601 013700;1.124100;1.124100;1.124050;1.124070;0
20170601 013800;1.124050;1.124080;1.124000;1.124030;0
20170601 013900;1.124030;1.124030;1.123990;1.124010;0
20170601 014000;1.124000;1.124000;1.123950;1.123970;0
20170601 014100;1.123960;1.124060;1.123960;1.124060;0
20170601 014200;1.124050;1.124050;1.123890;1.123900;0
20170601 014300;1.123910;1.123910;1.123800;1.123810;0
20170601 014400;1.123830;1.123900;1.123750;1.123780;0
20170601 014500;1.123800;1.123970;1.123800;1.123970;0
20170601 014600;1.123980;1.124020;1.123920;1.123960;0
20170601 014700;1.123960;1.124010;1.123960;1.124010;0
20170601 014800;1.124010;1.124010;1.123970;1.124010;0
20170601 014900;1.124010;1.124120;1.124010;1.124090;0
20170601 015000;1.124110;1.124260;1.124110;1.124240;0
20170601 015100;1.124240;1.124240;1.123990;1.123990;0
20170601 015200;1.124000;1.124010;1.123920;1.123930;0
20170601 015300;1.123930;1.123960;1.123890;1.123890;0
20170601 015400;1.123910;1.123940;1.123830;1.123860;0
20170601 015500;1.123850;1.123990;1.123840;1.123930;0
20170601 015600;1.123940;1.123940;1.123850;1.123870;0
20170601 015700;1.123850;1.123880;1.123850;1.123860;0
20170601 015800;1.123840;1.123920;1.123840;1.123890;0
20170601 015900;1.123900;1.123900;1.123750;1.123760;0
20170601 020000;1.123780;1.123790;1.123570;1.123580;0
20170601 020100;1.123590;1.123600;1.123410;1.123410;0
20170601 020200;1.123360;1.123410;1.123180;1.123400;0
20170601 020300;1.123400;1.123400;1.123130;1.123250;0
20170601 020400;1.123260;1.123450;1.123260;1.123310;0
20170601 020500;1.123320;1.123430;1.123320;1.123400;0
20170601 020600;1.123410;1.123450;1.123390;1.123400;0
20170601 020700;1.123390;1.123560;1.123270;1.123510;0
20170601 020800;1.123530;1.123660;1.123510;1.123510;0
20170601 020900;1.123530;1.123530;1.123300;1.123340;0
20170601 021000;1.123350;1.123620;1.123350;1.123570;0
20170601 021100;1.123550;1.123720;1.123550;1.123710;0
20170601 021200;1.123730;1.123730;1.123610;1.123610;0
20170601 021300;1.123560;1.123730;1.123560;1.123730;0
20170601 021400;1.123730;1.123820;1.123590;1.123690;0
20170601 021500;1.123680;1.123830;1.123670;1.123710;0
20170601 021600;1.123710;1.123710;1.123540;1.123630;0
20170601 021700;1.123610;1.123610;1.123350;1.123350;0
20170601 021800;1.123370;1.123380;1.123040;1.123200;0
20170601 021900;1.123240;1.123290;1.123150;1.123210;0
20170601 022000;1.123260;1.123410;1.123250;1.123410;0
20170601 022100;1.123390;1.123560;1.123350;1.123500;0
20170601 022200;1.123510;1.123520;1.123320;1.123400;0
20170601 022300;1.123410;1.123460;1.123250;1.123450;0
20170601 022400;1.123450;1.123450;1.123110;1.123160;0
20170601 022500;1.123180;1.123350;1.123180;1.123350;0
20170601 022600;1.123360;1.123420;1.123360;1.123410;0
20170601 022700;1.123390;1.123390;1.123290;1.123330;0
